Verse Number, Verse Text
3,Pusan the Strong hath knowledge of sweet praises even as Indu hath. He dews our corn with moisture h e bedews the pasture of our kine. 4 We will bethink ourselves of thee O Pusan O thou God as One. Who brings fulfilment of our hymns and stirs the singer and the sage. 5 joint-sharer of each sacrifice the driv er of the chariot steeds; The Rsi who is good to man the singer's Friend and faithful Guard. 6 One who is Lord of Suca Lord of Suca caring for herself: Weaving the raiment of the sheep and making raiment beau tiful. 7 The mighty Lord of spoil and wealth. Strong Friend of all prosperity; He with light movement sha kes his beard lovely and ne'er to be deceived. 8 O Pusan may those goats of thine turn hitherward thy ch ariot-pole. Friend of all suppliants; art thou born in old time and arm and sure. 9 May the majestic Pusan speed our chariot with his power and might. May he increase our store of wealth and listen to this call of ours. 
1.,THIS singer is my firm determination to aid the worshipper who pours the Soma. 
1,slay the man who brings no milkoblation unrighteous powerful the truth's perverter. 
2,Then Will I when I lead my friends to battle against the radiant persons of the godless 
3,1 know not him who sayeth and declareth that he hath slain the godless in the battle. 
4,While yet my deeds of might were unrecorded all passed for Maghavans though I existed. 
5,None hinder me in mine heroic exploits no not the mountains when I will and purpose. 
6,To see the Indraless oblation-drinkers mean offerers o'ertaken by destruction! 
7,Thou wast thou grewest to full vital vigour: an earlier saw a later one shall see thee. 
8,The freed kine eat the barley of the pious. 1 saw them as they wandered with the herdsman. 
9,When we who cat the grass of men are gathered I am with barley-eaters in the corn-land. 
10,There wilt thou hold as true my spoken purpose to bring together quadrupeds and bipeds. 
12,How many a maid is pleasing to the suitor who fain would marry for her splendid riches? 
13,His feet have grasped: he eats the man who meets him. Around his head he sets the head for shelter. Sitting anear and right above he smites us and follows earth that lies spread out beneath him. 
14,High leafless shadowless and swift is Heaven: the Mother stands the Youngling loosed is feeding. Loud hath she lowed licking Another's offspring. In what world hath the Cow laid down her udder? 
15,Seven heroes from the nether part ascended and from the upper part came eight together. 
16,One of the ten the tawny shared in common they send to execute their final puipose. 
17,The Heroes dressed with fire the fatted wether: the dice were thrown by way of sport and gaming. Two reach the plain amid the heavenly waters hallowing and with means of purifying. 
18,Crying aloud they ran in all directions: One half of them will cook and not the other. 
191,saw a troop advancing from the distance moved not by wheels but their own God-like nature. 
20,These my two Bulls even Pramara's are harnessed: drive them not far; here let them often linger. 
2,1 This is the thunderbolt which often whirleth down from the lofty misty realm of Surya. 
22,Bound fast to every tree the cow is lowing and thence the man-consuming birds are flying 
23,In the Gods' mansion stood the first-created and from their separation came the later. 
24,This is thy life: and do thou mark and know it. As such hide not thyself in time of battle. 
1,. Now all my other friends are here assembled: my Sire-in-law alone hath not come hither. 
2,Loud belloweth the Bull whose horns are sharpened: upon the height above earth's breadth he standeth. That man 1 guard and save in all his troubles who fills my flanks when he hath shed the Soma. 
3,Men with the stone press out for thee O Indra strong gladdening Soma and thereof thou drinkest. Bulls they dress for thee and of these thou eatest when Maghavan with food thou art invited. 
4,Resolve for me O singer this my riddle: The rivers send their swelling water backward: 
5,How shall I solve this riddle I the simple declare the thought of thee the Wise and Mighty? 
6,Thus do they magnify me me the mighty higher than even high heaven is my car-pole. 
7,Yea and the Gods have known me also Indra as mighty fierce and strong in every exploit. 
8,The Deities approached they carried axes; splitting the wood they came with their attendants. 
9,The hare hath swallowed up the opposing razor: 1 sundered with a clod the distant mountain. 
10,There hath the strong-winged eagle left his talon as a snared lion leaves the trap that caught him. Even the wild steer in his thirst is captured: the leather strap still holds his foot entangled. 
1,1 So may the leather strap their foot entangle who fatten on the viands of the Brahman. 
12,They were well occupied with holy duties who sped in person with their lauds to Soma. 
1.,As sits the young bird on the tree rejoicing ye swift Pair have been roused by clear laudation 
2,May we when this Dawn and the next dance hither be thy best servants most heroic Hero! 
3,What was the gladdening draught that pleased thee Indra? Speed through our doors to songs for thou ar t 
4,Indra what fame hath one like thee mid heroes? With what plan wilt thou act? Why hast thou sought us 
5,Speed happily those as Surya ends his journey who meet his wish as bridegrooms meet their spouses; Men who present O Indra strong by nature with food the many songs that tell thy praises. 
6,Thine are two measures Indra wide-wellmeted heaven for thy majesty earth for thy wisdom. 
7,They have poured out a bowl to him to Indra full of sweet juice for faithful is his bounty. 
8,Indra hath conquered in his wars the Mighty: men strive in multitudes to win his friendship. 
1.,As 'twere with swift exertion of the spirit let the priest speed to the celestial Waters 
2,Adhvaryus he ye ready with oblations and come with longing to the longing Waters 
3,Go to the reservoir O ye Adhvaryus worship the Waters' Child with your oblations. 
4,He who shines bright in floods unfed with fuel whom sages worship at their sacrifices: 
5,Those in which Soma joys and is delighted as a young man with fair and pleasant damsels. 
6,So maidens bow before the youthful gallant who comes with love to them who yearn to meet him. 
7,He who made room for you when fast imprisoned who freed you from the mighty imprecation - Even to that Indra send the meath-rich current the wave that gratifies the Gods O Waters. 
8,Send forth to him the meath-rich wave O Rivers which is your offspring and a well of sweetness Oil-balmed to be implored at sacrifices. Ye wealthy Waters hear mine invocation. 
9,Send forth the rapture-giving wave O Rivers which Indra drinks which sets the Twain in motion; The well that springeth from the clouds desirous that wandereth triple-formed distilling transport. 
10,These winding Streams which with their double current like cattle-raiders seek the lower pastures - Waters which dwell together thrive together Queens Mothers of the world these Rsi honour. 
1,1 Send forth our sacrifice with holy worship send forth the hymn and prayer for gain of riches. 
12,For wealthy Waters ye control all treasures: ye bring auspicious intellect and Amrta. 
13,When I behold the Waters coming hither carrying with them milk and mcath and butter 
14,Rich they are come with wealth for living beings O friends Adhvaryus seat them in their places. 
15,Now to this grass are come the longing Waters: the Pious Ones are seated at our worsh ip. Adhvaryus press the Soma juice for Indra so will the service of the Gods be easy. 
1.,MAY benediction of the Gods approach us holy to aid us with all rapid succours. 
2,A man should think on wealth and strive to win it by adoration on the path of Order 
3,The hymn is formed poured are the allotted portions: as to a ford friends come unto the Wondrous. 
4,Pleased be the Eternal Ford who loves the household with this man whom God Savitar created. 
5,Fike the Dawns' dwelling-place be this assembly where in their might men rich in food have gathered. Striving to share the praises of this singer. To us come strengthening and effectual riches! 
6,This Bull's most gracious far-extended favour existed first of all in full abundance. 
7,What was the tree what wood in sooth produced it from which they fashioned forth the Earth and Heaven? 
8,Not only here is this: more is beyond us. He is the Bull the Heaven's and Earth's supporter. 
9,He passes o'er the broad earth like a Stega: he penetrates the world as Wind the mist-cloud. 
10,When suddenly called the cow that erst was barren she self-protected ended all her troubles. 
1,1 To Nrsad's son they gave the name of Kainva and he the brown-hued courser won the treasure. 
1.,FORTH speed the Pair to bring the meditating God. benevolent with boons sent in return for boons. May Indra graciously accept both gifts from us when he hath knowledge of the flowing Soma juice. 
2,Thou wanderest far O Indra through the spheres of light and realms of earth the region thou whom m any 
3,More beautiful than beauty must this seem to me when the son duly careth for his parents' line. 
4,This beauteous place of meeting have I looked upon where like milch-cows the kine order the marria 
5,The Pious One hath reached your place before the rest: One only moves victorious with the Rudras' ban d. 
6,He who maintains the Laws of God informed me that thou wast lying hidden in the waters. 
7,The stranger asks the way of him who knows it: taught by the skilful guide he travels onward. 
8,Even now he breathed: these days hath he remembered. Concealed he sucked the bosom of his Mother. Yet in his youth old age hath come upon him: he hath grown gracious good and free from anger. 
9,O Kalasa all these blessings will we bring them O Kurusravana who give rich presents. 
1.,THE urgings of the people have impelled me and by .the nearest way I bring you Pusan. The Universal Gods have brought me safely. The cry was heard Behold Dubsasu cometh! 
2,The ribs that compass me give pain and trouble me like rival wives. 
3,As rats eat weavers' threads cares are consuming me thy singer gatakratu me. 
4,I the priests' Rsi chose as prince most liberal Kurusravana 
5,Whose three bays harnessed to the car bear me straight onward: I will laud The giver of a thousand meeds 
6,The sire of Upamasravas even him whose words were passing sweet. 
7,Mark Upamasravas his son mark grandson of Mitratithi: 
8,If I controlled Immortal Gods yea even were I Lord of men 
9,None lives even had he hundred lives beyond the statute of the Gods So am I parted from my friend. 
1,. SPRUNG from tall trees on windy heights these rollers transport me as they turn upon the table. 
2,She never vexed me nor was angry with me but to my friends and me was ever gracious. 
3,My wife holds me aloof her mother hates me: the wretched man finds none to give him comfort. 
4,Others caress the wife of him whose riches the die hath coveted that rapid courser: 
5,When I resolve to play with these no longer my friends depart from me and leave me lonely. 
6,The gamester seeks the gambling-house and wonders his body all afire. Shall I be lucky? 
7,Dice verily are armed with goads and driving-hooks deceiving and tormenting causing grievous woe. 
8,Merrily sports their troop the three-and-frfty like Savitar the God whose ways are faithful. 
9,Downward they roll and then spring quickly upward and handless force the man with hands to serve them. 
10,The gambler's wife is left forlorn and wretched: the mother mourns the son who wanders homeless. 
1,1 Sad is the gambler when he sees a matron another's wife and his well-ordered dwelling. 
12,To the great captain of your mighty army who hath become the host's imperial leader 
13,Play not with dice: no cultivate thy corn-land. Enjoy the gain and deem that wealth sufficient. 
14,Make me your friend: show us some little mercy. Assail us not with your terrific fierceness. 
1,. THESE fires associate with Indra are awake bringing their light when first the Dawn begins to shine. May Heaven and Earth great Pair observe our holy work. We claim for us this day the favour of the God s. 
2,Yea for ourselves we claim the grace of Heaven and Earth of Saryanavan of the Hills and Mother Streams. 
3,May the great Twain the Mothers Heaven and Earth this day preserve us free from sin for peace and happiness. 
4,May this first Dawn bring us the host of gracious Gods: rich may it richly shine for us who strive for wealth. 
5,Dawns who come forward with the bright beams of the Sun and at your earliest flushing bring to us th e 
6,Free from all sickness may the Mornings come to us and let our fires mount upward with a lofty blaze. The Asvin Pair have harnessed their swift-moving car. We pray to kindled Agni for felicity. 
7,Send us to-day a portion choice and excellent O Savitar for thou art he who dealeth wealth. 
1,cry to Dhisana Mother of opulence. We pray to kindled Agni for felicity. 
8,Further me this declaring of Eternal Eaw the Eaw of Gods as we mortals acknowledge it! 
9,This day we pray with innocence in strewing grass adjusting pressing-stones and perfecting the hymn. 
10,To our great holy grass 1 bid the Gods at morn to banquet and will seat them as the seven priests - Varuna Indra Mitra Bhaga for our gain. We pray to kindled Agni for felicity. 
1,1 Come hither O Adityas for our perfect weal: accordant help our sacrifice that we may thrive. 
12,Adityas Gods vouchsafe that this our home may be praise-worthy prosperous our heroes' sure defen ce 
13,This day may all the Maruts all he near us with aid: may all our fires be well enkindled. 
14,He whom ye aid O Deities in battle whom ye protect and rescue from affliction 
1.,THERE are the Dawn and Night the grand and beauteous Pair Earth Heaven and Varuna Mitra and Aryaman. 
2,May Dyaus and Prthivi wise true to Holy Law keep us in safety from distress and injury. 
3,Mother of Mitra and of opulent Varuna may Aditi preserve us safe from all distress. 
4,May ringing press-stones keep the Raksasas afar ill dream and Nirrti and each voracious fiend. 
5,Full flow libations; on our grass let Indra sit; Brhaspati the singer laud with Sama hymns! 
6,Ye Asvins make our sacrifice ascend to heaven and animate the rite that it may send us bliss 
7,Hither 1 call the band of Maruts swift to hear great purifying bringing bliss to he our Friends. 
8,We bring the Stay of Life who makes the waters swell swift-hearing Friend of Gods who waits on sacrifice. 
9,Alive ourselves with living sons devoid of guilt may we win this with winners by fair means to win. Let the prayer-haters bear our sin to every side. We crave this gracious favour of the Gods to-day. 
10,Hear us O ye who claim the worship of mankind and give us O ye Gods the gift for which we pray Victorious wisdom fame with heroes and with wealth. We crave to-day this gracious favour of the Gods. 
1,1 We crave the gracious favour of the Gods to-day great favour of great Gods sublime and free from fo es 
12,In great enkindled Agni's keeping and for bliss free from all sin before Mitra and Varuna. 
13,All ye the Gods whom Savitar the Father of truth and Varuna and Mitra govern 
14,Savitar Savitar from cast and westward Savitar Savitar from north and southward 
1.,Do homage unto Varuna's and Mitra's Eye: offer this solemn worship to the Mighty God 
2,May this my truthful speech guard me on every side wherever heaven and earth and days are spread abr oad. 
3,No godless man from time remotest draws thee down when thou art driving forth with winged dappled Steeds. 
4,O Surya with the light whereby thou scatterest gloom and with thy ray impellest every moving thing. Keep far from us all feeble worthless sacrifice and drive away disease and every evil dream. 
5,Sent forth thou guardest well the Universe's law and in thy wonted way arisest free from wrath. 
6,This invocation these our words may Heaven and Earth and Indra and the Waters and the Maruts hear. Ne'er may we suffer want in presence of the Sun and living happy lives may we attain old age. 
7,Cheerful in spirit evermore and keen of sight with store of children free from sickness and from sin 
8,Surya may we live long and look upon thee still thee O Far-seeing One bringing the glorious light The radiant God the spring of joy to every eye as thou art mounting up o'er the high shining flood. 
9,Thou by whose lustre all the world of life comes forth and by thy beams again returns unto its rest 
10,Bless us with shine bless us with perfect daylight bless us with cold with fervent heat and lustre. Bestow on us O Surya varied riches to bless us in our home and when we travel. 
1,1 Gods to our living creatures of both kinds vouchsafe protection both to bipeds and to quadrupeds 
12,If by some grievous sin we have provoked the Gods O Deities with the tongue or thoughtlessness of heart 
1.,O INDRA in this battle great and glorious in this loud din of war help us to victory 
2,At home disclose to us opulence rich in food streaming with milk O Indra meet to be renowned. 
3,The godless man much-lauded Indra whether he be Dasa or be Arya who would war with us- Easy to conquer he for thee with us these foes: with thee may we subdue them in the clash of fight. 
4,Him who must be invoked by many and by few who standeth nigh with comfort in the war of men Indra famed Hero winner in the deadly strife let us bring hitherward to-day to favour us. 
5,For Indra I have heard thee called Self capturer One Steer! who never yields who urges even the chu rl. 
1.,As 'twere the name of father easy to invoke we all assembled here invoke this Car of yours 
2,Awake all pleasant strains and let the hymns flow forth: raise up abundant fulness: this is our desire. Asvins bestow on us a glorious heritage and give our princes treasure fair as Soma is. 
3,Ye are the bliss of her who groweth old at home and helpers of the slow although he linger last. 
4,Ye made Cyavana weak and worn with length of days young again like a car that he had power to mo ve. 
5,We will declare among the folk your ancient deeds heroic; yea ye were Physicians bringing health. You you who must be lauded will we bring for aid so that this foe of ours O Asvins may believe. 
6,Listen to me O Asvins; I have cried to you. Give me-your aid as sire and mother aid their son. 
7,Ye mounted on your chariot brought to Vimada the comely maid of Purumitra as a bride. 
8,Ye gave a ain the vigour of his youthful life to tge sage Kali when old age was coming nigh. 
9,Ye Asvins Twain endowed with manly strength brought forth Reblia when hidden in the cave and well-nigh dead 
10,On Pedu ye bestowed Asvins a courser white mighty with nine-and-ninety varied gifts of strength. 
1,1 From no side ye Two Kings whom none may check or stay doth grief distress or danger come u on t he 
12,Come on that Chariot which the Rbhus wrought for you the Chariot Asvins that is speedier than thou ght 
13,Come Conquerors of the sundered mountain to our home Asvins who made the cow stream milk for Sayu's sake 
14,We have prepared this laud for you O Asvins and like the Bhrgus as a car have framed it. 
1.,YOUR radiant Chariot-whither goes it on its way?-who decks it for you. Heroes for its happy course Starting at daybreak visiting each morning every house borne hitherward through prayer unto the sacrific e? 
2,Where are ye Asvins in the evening where at morn? Where is your haltingplace where rest ye for the night? 
3,Early ye sing forth praise as with a herald's voice and meet for worship go each morning to the house. Whom do ye ever bring to ruin? Unto whose libations come ye Heroes like two Sons of Kings? 
4,Even as hunters follow two wild elephants we with oblations call you down at morn and eve. 
5,To you O Asvins came the daughter of a King Ghosa and said O Heroes this I beg of you: 
6,O Asvins ye are wise: as Kutsa comes to men bring your car nigh the folk of him who sings your prais e. 
7,To Bhujyu and to Vasa ye come near with help O Asvins to Sinjara and to Usana. 
8,Krsa and Sayu ye protect ye Asvins Twain: ye Two assist the widow and the worshipper; 
9,The Woman hath brought forth the Infant hath appeared the plants of wondrous beauty straightway ha ve 
10,They mourn the living cry aloud at sacrifice: the men have set their thoughts upon a distant cast. 
1,1 Of this we have no knowledge. Tall it forth to us now the youth rests within the chambers of the bride. Fain would we reach the dwelling of the vigorous Steer who loves the kine O Asvins: this is our desire. 
12,Your favouring grace hath come ye Lords of ample wealth: Asvins our longings are stored up within your hearts. 
13,Even so rejoicing in the dwelling-place of man give hero sons and riches to the eloquent. 
14,O Asvins Wonder-Workers Lords of lustre where and with what folk do ye delight yourselves to-da 
1,. THAT general Car of yours invoked by many a man that comes to our libations three-wheeled meet 
2,Ye O Nasatyas mount that early-harnessed Car that travels early laden with its freight of balm Wherewith ye Heroes visit clans who sacrifice even the poor man's worship where the priest attends. 
3,If to the deft Adhvaryu with the meath in hand or to the Kindler firm in strength the household friend Or to the sage's poured libations ye approach come thence O Asvins now to drink the offered meath. 
1,. EVEN as an archer shoots afar his arrow offer the laud to him with meet adornment. 
2,Draw thy Friend to thee like a cow at milking: O Singer wake up Indra as a lover. 
3,Why Maghavan do they call thee Bounteous; Giver? Quicken me: thou I hear art he who quickens. Sakra let my intelligence be active and bring us luck that finds great wealth O Indra. 
4,Standing in battle for their rights together the people Indra in the fray invoke thee. 
5,Whoso with plenteous food for him expresses strong Somas as much quickly-coming treasure 
6,He unto whom we offer praises Indra Maghavan who hath joined to ours his wishes - Before him even afar the foe must tremble: low before him must bow all human glories. 
7,With thy fierce bolt O God invoked of many drive to a distance from afar the foeman. 
8,Indra the swallower of strong libations rich in the boons they bring the potent Somas 
9,Yea by superior play he wins advantage when he a gambler piles his gains in season. Celestial-natured he o'erwhelms with riches the devotee who keeps not back his treasure. 
10,O Much-invoked may we subdue all famine and evil want with store of grain and cattle. 
1,1 Brhaspati protect us from the rearward and from above and from below from sinners! 
1,. IN perfect unison all yearning hymns of mine that find the light of heaven have sung forth Indra's prais e. 
2,Directed unto thee my spirit never strays for 1 have set my hopes on thee O Much-invoked! 
3,From indigence and hunger Indra turns away: Maghavan hath dominion over precious wealth. 
4,As on the fair-leafed tree rest birds to Indra flow the gladdening Soma juices that the bowls contain. Their face that glows with splendour through their mighty power hath found the shine of heaven for man the 
5,As in the game a gambler piles his winnings so Maghavan sweeping all together gained the Sun This mighty deed of thine none other could achieve none Maghavan before thee none in recent time. 
6,Maghavan came by turns to all the tribes of men: the Steer took notice of the people's songs of praise. The man in whose libations Sakra hath delight by means of potent Somas vanquisheth his foes. 
7,When Soma streams together unto Indra flow like waters to the river rivulets to the lake 
8,He rushes through the region like a furious Bull he who hath made these floods the dames of worthy lor ds. 
9,Let the keen axe come forth together with the light: here be .as erst the teeming cow of sacrifice. 
10,O Much-invoked may we subdue all famine and evil want with store of grain and cattle. 
1,1 Brhaspati protect us from the rearward and from above and from below from sinners. 
1,. MAY Sovran Indra come to the carousal he who by Holy Law is strong and active 
2,Firm-seated is thy car thy Steeds are docile; thy hand O King holds firmly grasped the thunder. 
3,Let strong and mighty Steeds who bear this Mighty Indra the Lord of men whose arm wields thunder Bring unto us as sharers of our banquet the Steer of conquering might of real vigour. 
4,So like a Bull thou rushest to the Lord who loves the trough the Sage the prop of vigour in the vat Prepare thine energies collect them in thyself: be for our profit as the Master of the wise. 
5,May precious treasures come to us-so will I pray. Come to the votary's gift offered with beauteous laud. 
6,Far went our earlist invocation of the Gods and won us glories that can never be surpassed. 
7,So be the others evil-hearted far away whose horses difficult to harness have been yoked. 
8,He firmly fixed the plains and mountains as they shook. Dyaus thundered forth and made the air's mid-region quake. 
9,1 bear this deftly-fashioned goad of thine wherewith thou Maghavan shalt break the strikers with the hoof. 
10,O Much-invoked may we subdue all famine and evil want with store of grain and cattle. 
1,1 Brhaspati protect us from the rearward and from above and from below from sinners. 
1,. FIRST Agni sprang to life from out of Heaven: the second time from us came Jatave das. Thirdly the Manly-souled was in the waters. The pious lauds and kindles him the Eternal. 
2,Agni we know thy three powers in three stations we know thy forms in many a place divided. 
3,The Manly-souled lit thee in sea and waters man's Viewer lit thee in the breast of heaven 
4,Agni roared out like Dyaus what time he thunders: he licked the ground about the plants he flickered. At once when born he looked around enkindled and lightened heaven and earth within with splendour. 
5,The spring of glories and support of riches rouser of thoughts and guardian of the Soma 
6,Germ of the world ensign of all creation be sprang to life and filled the earth and heavens. 
7,So among mortals was Immortal Agni stablished as holy wise and willing envoy. 
8,Like gold to look on far he shone refulgent beaming imperishable life for glory 
9,Whoso this day O God whose flames are lovely prepares a cake O Agni mixt with butter 
10,Endow him Agni with a share of glory at every song of praise sung forth enrich him. 
1,1 While Agni day by day men pay thee worship they win themselves all treasures worth the wishing. Allied with thee eager and craving riches they have disclosed the stable filled with cattle. 
12,Agni the Friend of men the Soma's keeper Vaisvanara hath been lauded by the Rsis. 
1.,STABLISHED for thee to lend thee vital forces Giver of wealth. Guard of his servant's body. 
2,Worshipping seeking him with adoration like some lost creature followed by its footprints 
3,On the Cow's forehead with laborious searching Trita the offspring of Vibhiavas found him. 
4,Yearning with homage they have set and made him blithe Priest among mankind oblation-bearer Leader of rites and Purifier envoy of men as sacrifice that still advances. 
5,The foolish brought the ne'er-bewildered forward great Victor Song-inspirer Fort-destroyer. Leading the Youth gold-bearded like a courser gleaming with wealth they turned their hymn to profit. 
6,Holding his station firmly in the houses Trita sat down within his home surrounded Thence as Law bids departs the Tribes' Companion having collected men with no compulsion. 
7,His are the fires eternal purifying that make the houses move whose smoke is shining. 
8,The tongue of Agni bears away the praisesong and through his care for Earth her operations. 
9,That Agni him whom Heaven and Earth engendered the Waters. Tvastar and with might the Bhrgus Him Matarisvan and the Gods have fashioned holy for man and first to be entreated. 
10,Agni whom Gods have made oblationbearer and much-desiring men regard as holy 
1.,THY right hand have we grasped in ours O Indra longing for treasure Treasure-Lord of treasures! Because we know thee Hero Lord of cattle: vouchsafe us mighty and resplendent riches. 
2,Wealth fully armed good guard and kind protector sprung from four seas the prop and stay of treasure 
3,Wealth with good Brahmans Indra! God-attended high wide and deep arid based on broad foundati ons 
4,Victorious winning strength with hero sages confirmed in power most useful wealth-attracting 
5,Wealthy in heroes and in cars and horses strength hundredfold and thousandfold O Indra 
6,To Saptagu the sage the holy-minded to him Brhaspati the song approaches 
7,My lauds like envoys craving loving-kindness go forth to Indra with their strong entreaty 
8,Grant us the boon for which I pray O Indra a spacious home unmatched among the people. 
1,. 1 WAS the first possessor of all precious gear: the wealth of every man I win and gather up. 
2,I Indra am Atharvan's stay and firm support: 1 brought forth kine to Trita from the Dragon's grasp. 
1,stripped the Dasyus of their manly might and gave the cattle-stalls to Matarigvan and Dadhyac. 
3,For me hath Tvastar forged the iron thunderbolt: in me the Gods have centred intellectual power. 
4,1 won myself these herdi of cattle steeds and kine and gold in ample store with my destructive bolt. 
5,Indra am I none ever wins my wealth from me never at any time am I a thrall to death. 
6,These breathing loud in fury two and two who caused Indra to bring his bolt of thunder to the fray The challengers I struck with deadly weapon down: firm stand what words the God speaks to his worshippers. 
8,Against the Gungus I made Atithigva strong and kept him mid the folk like Vrtra-conquering strength. When I won glory in the great foe-slaying fight in battle where Karanja fell and Parnaya. 
9,With food for mine enjoyment Sapya Nami came: he joined me as a friend of old in search of kine. 
10,One of the two hath Soma seen within it; the Herdsman with the bone shows forth the other. 
1,. 1 HAVE enriched the singer with surpassing wealth; I have allowed the holy hymn to strengthen me. 
2,The People of the heavens the waters and the earth have stablished me among the Gods with Indra's na me. 
1,took unto myself the two swift vigorous Bays that speed on divers paths and the fierce bolt for strength. 
3,With deadly blows I smote Atka for Kavi's sake; I guarded Kutsa well with these saving helps. 
4,Smadibha Tugra and the Vetasus I gave as prey to Kutsa father-like to succour him. 
1,was a worthy King to rule the worshipper when I gave Tuji dear inviolable gifts. 
5,I gave up Mrgaya to Srutarvan as his prey because he ever followed me and kept my laws. 
6,11 crushed Navavastva of the lofty car the Dasa as the Vrtra-slayer kills the fiends; 
7,1 travel round about borne onward in my might by the fleet-footed dappled Horses of the Sun. 
8,Stronger am I than Nabus I who slew the seven: 1 glorified with might Yadu and Turvaga. 
9,Bull over all the streams that flow along the earth. 1 took the Seven Rivers as mine own domain. 
10,I set within these cows the white milk which no God not even Tvastar's self had there deposited- 
1,1 Even thus hath Indra Maghavan truly bounteous sped Gods and men with mighty operation. 
1.,1 LAUD your Mighty One who joyeth in the juice him who is shared by all men who created all; 
2,He with his friend is active lauded good to man Indra who must be glorified by one like me. 
3,Who are the men whom thou wilt further Indra who strive to win thy bliss allied with riches? 
4,Thou Indra through the holy prayer art mighty worthy of sacrifice at all libations. 
5,Help now as Highest those who toil at sacrifice: well do the people know thy great protecting might. Thou shalt be Everlasing Giver of success yea on all these libations thou bestowest strength. 
6,All these libations thou makest effectual of which thou art thyself supporter Son of Power. 
7,They who with flowing Soma pray to thee O Sage to pour on them thy gifts of opulence and wealth May they come forward through their spirit on the path of bliss in the wild joy of Soma juice effused. 
1.,LARGE was that covering and firm of texture folded wherein thou enteredst the waters. One Deity alo ne O Jatavedas Agni saw all thy forms in sundry places. 
2,What God hath seen me? Who of all their number clearly beheld my forms in many places? 
3,In many places Agni Jatavedas we sought thee hidden in the plants and waters. 
4,I fled in fear from sacrificial worship Varuna lest the Gods should thus engage me. 
5,Come; man is pious and would fain do worship he waits prepared: in gloom thou Agni dwellest. 
6,This goal mine elder brothers erst selected as he who drives a car the way to travel. 
7,We give thee life unwasting Jatavedas so that employed thou never shalt be injured. 
8,Grant me the first oblations and the latter entire my forceful shares of holy presents 
9,Thine be the first oblations and the latter entire thy forceful shares of holy presents. 
1.,INSTRUCT me all ye Gods how I elected your Priest must seat me here and how address you. Instruct me how to deal to each his portion and by what ' path to bring you man's oblation. 
2,1 sit as Priest most skilled in sacrificing: the Maruts and all Deities impel me. 
3,Who is the Priest? Is he the Priest of Yama? On whom is thrust this God-appointed honour? 
4,The Gods have made me bearer of oblations who slipped away and passed through many troubles. Wise Agni shall ordain for us the worship whether five-wayed threefold or seven-threaded. 
5,So will I win you strength and life for ever. O Gods that I may give you room and freedom. 
6,The Deities three hundred and thirty-nine have served and honoured Agni 
1.,HE hath arrived he whom we sought with longing who skilled in sacrifice well knows its courses. 
2,Best Priest he hath been won by being seated for he hath looked on the well-ordered viands. 
3,Now hath he made the feast of Gods effective: now have we found the secret tongue of worship. 
4,This prelude of my speech I now will utter whereby we Gods may quell our Asura foemen. 
5,May the Five Tribes be pleased with mine oblation and the Cow's Sons and all who merit worship. From earthly trouble may the earth protect us and air's mid realm from woe that comes from heaven. 
6,Spinning the thread follow the region's splendid light: guard thou the path ways well which wisdom hat h 
7,Lovers of Soma bind the chariot traces fast: set ye the reins in order and embellish them. 
8,Here flows Asmanvati: hold fast each other keep yourselves up and pass my friends the river. 
9,Tvastar most deft of workmen knew each magic art bringing most blessed bowls that hold the drink of Gods. 
10,Now O ye Sapient Ones make ye the axes sharp wherewith ye fashion bowls to hold the Amrta. Knowing the secret places make ye ready that whereby the Gods have gotten immortality. 
1,1 Ye with a secret tongue and dark intention laid the maiden deep within the calf within the mouth. 
1.,1 SING thy fame that Maghavan through thy Greatness the heavens and earth invoked thee in their terr or 
2,When thou wast roaming waxen strong in body telling thy might Indra among the people 
3,Who are the Rsis then who comprehended before our time the bounds of all thy greatness? 
4,Thou Mighty Steer hast four supremest natures Asura natures that may ne'er be injured. 
5,Thou hast all treasures in thy sole possession treasures made manifest and treasures hidden. 
6,To him who set the light in things of splendour and with all sweetness blent essential sweetness 
2,Great is that secret name and far-extending whereby thou madest all that is and shall be. 
3,He filled the heaven and earth and all between them Gods five times sevenfold in their proper seasons. With four-and-thirty lights he looks around him lights of one colour though their ways are divers. 
4,As first among the lights O Dawn thou shonest whereby thou broughtest forth the Stay of Increase Great art thou matchless is thine Asura nature who high above art kin to those beneath thee. 
5,The old hath waked the young Moon from his slumber who runs his circling course with many round hi 
6,Strong is the Red Bird in his strength great Hero who from of old hath had no nest to dwell in. 
7,Through these the Thunderer gained strong manly vigour through whom he waxed in power to smite d own 
8,All-strong performing works with his companion All-marking rapid Victor Curse-averter 
1,. HERE is one light for thee another yonder: enter the third and he therewith united. 
2,Bearing thy body Vajin may thy body afford us blessing and thyself protection. 
3,Strong Steed art thou: go to the yearning Maidens with vigour happily go to heaven and praises: 
4,Part of their grandeur have the Fathers also gained: the Gods have seated mental power in them as Gods 
5,They strode through all the region with victorious might establishing the old immeasurable laws. 
6,In two ways have the sons established in his place the Asura who finds the light by the third act 
7,As in a ship through billows so through regions of air with blessings through toils and troubles Hath Brhaduktha brought his seed with glory and placed it here and in the realms beyond us. 
1.,LET us not Indra leave the path the Soma-presser's sacrifice: Let no malignity dwell with us. 
2,May we obtain completely wrought the thread spun out to reach the Gods 
3,We call the spirit hither with the Soma of our parted sires 
